"","Entity","Code","SDG","Year","value"
"400","Bermuda","BMU","14_1_1_2",2007,99.19
"401","Bermuda","BMU","14_1_1_2",2008,99.79
"402","Bermuda","BMU","14_1_1_2",2009,99.68
"403","Bermuda","BMU","14_1_1_2",2010,95.43
"404","Bermuda","BMU","14_1_1_2",2011,98.69
"405","Bermuda","BMU","14_1_1_2",2012,99.7
"406","Bermuda","BMU","14_1_1_2",2013,97.86
"407","Bermuda","BMU","14_1_1_2",2014,99.81
"408","Bermuda","BMU","14_1_1_2",2015,99.56
"409","Bermuda","BMU","14_1_1_2",2016,100
"410","Bermuda","BMU","14_1_1_2",2017,99.38
"411","Bermuda","BMU","14_1_1_2",2018,99.86
"412","Bermuda","BMU","14_1_1_2",2019,99.96
"413","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2000,96.87
"414","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2001,99.04
"415","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2002,97.83
"416","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2003,85.68
"417","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2004,99.15
"418","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2005,99.68
"419","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2006,94.37
"420","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2007,99.68
"421","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2008,99.74
"422","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2009,85.55
"423","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2010,94.93
"424","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2012,95.78
"425","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2013,95.57
"426","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2014,94.16
"427","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2015,98.55
"428","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2016,98.66
"429","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2017,95.91
"430","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2018,93.55
"431","Bonaire Sint Eustatius and Saba","BES","14_1_1_2",2019,99.06
"432","Brazil","BRA","14_1_1_2",2000,98.22
"433","Brazil","BRA","14_1_1_2",2001,97.22
"434","Brazil","BRA","14_1_1_2",2002,97.99
"435","Brazil","BRA","14_1_1_2",2003,96.95
"436","Brazil","BRA","14_1_1_2",2004,99
"437","Brazil","BRA","14_1_1_2",2005,98.83
"438","Brazil","BRA","14_1_1_2",2006,98.06
"439","Brazil","BRA","14_1_1_2",2007,97.35
"440","Brazil","BRA","14_1_1_2",2008,97.38
"441","Brazil","BRA","14_1_1_2",2009,97.82
"442","Brazil","BRA","14_1_1_2",2010,98.03
"443","Brazil","BRA","14_1_1_2",2011,98.18
"444","Brazil","BRA","14_1_1_2",2012,98.4
"445","Brazil","BRA","14_1_1_2",2013,98.54
"446","Brazil","BRA","14_1_1_2",2014,97.78
"447","Brazil","BRA","14_1_1_2",2015,98.57
"448","Brazil","BRA","14_1_1_2",2016,97.17
"449","Brazil","BRA","14_1_1_2",2017,97.4
"450","Brazil","BRA","14_1_1_2",2018,99.34
"451","Brazil","BRA","14_1_1_2",2019,98.47
"452","British Virgin Islands","VGB","14_1_1_2",2000,87.46
"453","British Virgin Islands","VGB","14_1_1_2",2001,99
"454","British Virgin Islands","VGB","14_1_1_2",2002,99.88
"455","British Virgin Islands","VGB","14_1_1_2",2003,98.36
"456","British Virgin Islands","VGB","14_1_1_2",2004,98.18
"457","British Virgin Islands","VGB","14_1_1_2",2005,97.3
"458","British Virgin Islands","VGB","14_1_1_2",2006,98.67
"459","British Virgin Islands","VGB","14_1_1_2",2007,94.24
"460","British Virgin Islands","VGB","14_1_1_2",2008,99.89
"461","British Virgin Islands","VGB","14_1_1_2",2009,89.36
"462","British Virgin Islands","VGB","14_1_1_2",2010,99.13
"463","British Virgin Islands","VGB","14_1_1_2",2011,99.97
"464","British Virgin Islands","VGB","14_1_1_2",2012,99.82
"465","British Virgin Islands","VGB","14_1_1_2",2013,98.96
"466","British Virgin Islands","VGB","14_1_1_2",2014,99.97
"467","British Virgin Islands","VGB","14_1_1_2",2015,98.59
"468","British Virgin Islands","VGB","14_1_1_2",2016,99.69
"469","British Virgin Islands","VGB","14_1_1_2",2017,98.6
"470","British Virgin Islands","VGB","14_1_1_2",2018,98.49
"471","British Virgin Islands","VGB","14_1_1_2",2019,99.83
"472","Brunei","BRN","14_1_1_2",2000,94.53
"473","Brunei","BRN","14_1_1_2",2001,95.29
"474","Brunei","BRN","14_1_1_2",2002,98.42
"475","Brunei","BRN","14_1_1_2",2003,95.93
"476","Brunei","BRN","14_1_1_2",2004,98.91
"477","Brunei","BRN","14_1_1_2",2005,96.75
"478","Brunei","BRN","14_1_1_2",2006,95.13
"479","Brunei","BRN","14_1_1_2",2007,91.6
"480","Brunei","BRN","14_1_1_2",2008,93.48
"481","Brunei","BRN","14_1_1_2",2009,92.81
"482","Brunei","BRN","14_1_1_2",2010,94.63
"483","Brunei","BRN","14_1_1_2",2011,96.92
"484","Brunei","BRN","14_1_1_2",2012,97.33
"485","Brunei","BRN","14_1_1_2",2013,96.25
"486","Brunei","BRN","14_1_1_2",2014,96.18
"487","Brunei","BRN","14_1_1_2",2015,93.2
"488","Brunei","BRN","14_1_1_2",2016,99.03
"489","Brunei","BRN","14_1_1_2",2017,97.3
"490","Brunei","BRN","14_1_1_2",2018,97.03
"491","Brunei","BRN","14_1_1_2",2019,99.14
"492","Bulgaria","BGR","14_1_1_2",2000,96.05
"493","Bulgaria","BGR","14_1_1_2",2001,76.01
"494","Bulgaria","BGR","14_1_1_2",2002,95.31
"495","Bulgaria","BGR","14_1_1_2",2003,90.99
"496","Bulgaria","BGR","14_1_1_2",2004,98.4
"497","Bulgaria","BGR","14_1_1_2",2005,97.06
"498","Bulgaria","BGR","14_1_1_2",2006,96.46
"499","Bulgaria","BGR","14_1_1_2",2007,97.12
"500","Bulgaria","BGR","14_1_1_2",2008,95.07
"501","Bulgaria","BGR","14_1_1_2",2009,94.52
"502","Bulgaria","BGR","14_1_1_2",2010,94.85
"503","Bulgaria","BGR","14_1_1_2",2011,99.87
"504","Bulgaria","BGR","14_1_1_2",2012,97.93
"505","Bulgaria","BGR","14_1_1_2",2013,95.22
"506","Bulgaria","BGR","14_1_1_2",2014,98.62
"507","Bulgaria","BGR","14_1_1_2",2015,97.71
"508","Bulgaria","BGR","14_1_1_2",2016,99.61
"509","Bulgaria","BGR","14_1_1_2",2017,97.55
"510","Bulgaria","BGR","14_1_1_2",2018,98.43
"511","Bulgaria","BGR","14_1_1_2",2019,99.06
"512","Cambodia","KHM","14_1_1_2",2000,99.43
"513","Cambodia","KHM","14_1_1_2",2001,98.28
"514","Cambodia","KHM","14_1_1_2",2002,97.54
"515","Cambodia","KHM","14_1_1_2",2003,99.28
"516","Cambodia","KHM","14_1_1_2",2004,99.45
"517","Cambodia","KHM","14_1_1_2",2005,96.74
"518","Cambodia","KHM","14_1_1_2",2006,98.29
"519","Cambodia","KHM","14_1_1_2",2007,98.81
"520","Cambodia","KHM","14_1_1_2",2008,98.92
"521","Cambodia","KHM","14_1_1_2",2009,98.96
"522","Cambodia","KHM","14_1_1_2",2010,98.26
"523","Cambodia","KHM","14_1_1_2",2011,98.9
"524","Cambodia","KHM","14_1_1_2",2012,99.13
"525","Cambodia","KHM","14_1_1_2",2013,98.21
"526","Cambodia","KHM","14_1_1_2",2014,98.81
"527","Cambodia","KHM","14_1_1_2",2015,99.73
"528","Cambodia","KHM","14_1_1_2",2016,99.33
"529","Cambodia","KHM","14_1_1_2",2017,99.88
"530","Cambodia","KHM","14_1_1_2",2018,97.48
"531","Cambodia","KHM","14_1_1_2",2019,98.36
"532","Cameroon","CMR","14_1_1_2",2000,97.75
"533","Cameroon","CMR","14_1_1_2",2001,98.59
"534","Cameroon","CMR","14_1_1_2",2002,94.55
"535","Cameroon","CMR","14_1_1_2",2003,96.15
"536","Cameroon","CMR","14_1_1_2",2004,96.15
"537","Cameroon","CMR","14_1_1_2",2005,95.31
"538","Cameroon","CMR","14_1_1_2",2006,91.31
"539","Cameroon","CMR","14_1_1_2",2007,93.85
"540","Cameroon","CMR","14_1_1_2",2008,95.73
"541","Cameroon","CMR","14_1_1_2",2009,92.4
