"","Country","Code","SDG","Year","Value","Value_norm_percent"
"394","Seychelles","SYC","14_1_1_1","2017",86703383,2.78038015766102
"395","Seychelles","SYC","14_1_1_1","2018",35040,63.3213314768834
"396","Sierra Leone","SLE","14_1_1_1","2018",621,94.5683295058788
"397","Singapore","SGP","14_1_1_1","2016",7581521,21.6605303046435
"398","Singapore","SGP","14_1_1_1","2017",3229485,28.2726000759693
"399","Singapore","SGP","14_1_1_1","2018",5545935,24.0829299509018
"400","Sint Maarten (Dutch part)","SXM","14_1_1_1","2018",544323,42.0681760850386
"401","Slovenia","SVN","14_1_1_1","2016",1833146,32.6602044915982
"402","Slovenia","SVN","14_1_1_1","2017",1491842,34.2564619040148
"403","Slovenia","SVN","14_1_1_1","2018",3883,80.3660062089526
"404","South Africa","ZAF","14_1_1_1","2015",1059365,36.9089251749166
"405","South Africa","ZAF","14_1_1_1","2016",644019,40.7650765117525
"406","South Africa","ZAF","14_1_1_1","2017",243076,48.3143662886852
"407","South Africa","ZAF","14_1_1_1","2018",595450,41.3726029893068
"408","South Africa","ZAF","14_1_1_1","2019",304,100
"414","South Korea","KOR","14_1_1_1","2016",1651100,33.4705818069238
"415","South Korea","KOR","14_1_1_1","2017",958235,37.6862961612103
"416","South Korea","KOR","14_1_1_1","2018",720163,39.8992432187756
"434","Spain","ESP","14_1_1_1","2015",1531321,34.0540907754238
"435","Spain","ESP","14_1_1_1","2016",4088206,26.4457504018194
"436","Spain","ESP","14_1_1_1","2017",2193543,31.269560175232
"437","Spain","ESP","14_1_1_1","2018",1436452,34.5496104715774
"438","Spain","ESP","14_1_1_1","2019",1257716,35.5791547004907
"439","Spain","ESP","14_1_1_1","2020",246332,48.2112709512313
"440","Sri Lanka","LKA","14_1_1_1","2016",3303722,28.0965111793363
"441","Sri Lanka","LKA","14_1_1_1","2017",3502184,27.6445159574139
"442","Sri Lanka","LKA","14_1_1_1","2018",1673198,33.3675719692566
"443","Suriname","SUR","14_1_1_1","2017",580801,41.5655996136446
"444","Suriname","SUR","14_1_1_1","2018",659674,40.5789887128105
"445","Sweden","SWE","14_1_1_1","2015",7624,75.1384878357733
"446","Sweden","SWE","14_1_1_1","2016",22391,66.7911248307029
"447","Sweden","SWE","14_1_1_1","2017",17226,68.822952812481
"448","Sweden","SWE","14_1_1_1","2018",6489,76.3874081848006
"449","Switzerland","CHE","14_1_1_1","2015",5934498,23.5582573627577
"450","Switzerland","CHE","14_1_1_1","2017",1317600,35.2187604499899
"451","Switzerland","CHE","14_1_1_1","2018",123206,53.5792554449374
"452","Tanzania","TZA","14_1_1_1","2016",41173753,8.5502488051706
"453","Tanzania","TZA","14_1_1_1","2017",14546454,16.6116783711444
"454","Tanzania","TZA","14_1_1_1","2018",88635,56.1309096535166
"455","Thailand","THA","14_1_1_1","2016",447946,43.5780287392033
"456","Thailand","THA","14_1_1_1","2017",519666,42.4273461593022
"457","Thailand","THA","14_1_1_1","2018",804727,39.0390181743903
"458","Timor","TLS","14_1_1_1","2016",172592,50.9676182897051
"459","Tonga","TON","14_1_1_1","2017",630051,40.934970347727
"460","Trinidad and Tobago","TTO","14_1_1_1","2016",1517814,34.1227350582979
"461","Trinidad and Tobago","TTO","14_1_1_1","2017",2355550,30.7174675400171
"462","Trinidad and Tobago","TTO","14_1_1_1","2018",3285571,28.1391968511226
"463","Tunisia","TUN","14_1_1_1","2019",1040778,37.0460736730881
"464","Turkey","TUR","14_1_1_1","2016",2511675,30.2202352415255
"465","Turkey","TUR","14_1_1_1","2017",5753343,23.7984557550123
"466","Turkey","TUR","14_1_1_1","2018",451999,43.5082404011083
"467","Turkey","TUR","14_1_1_1","2019",183296,50.5014067177357
"468","Turkey","TUR","14_1_1_1","2020",12194,71.4996976530438
"469","Ukraine","UKR","14_1_1_1","2017",11372,72.0404288825092
"470","Ukraine","UKR","14_1_1_1","2018",1229709,35.7536381485012
"471","Ukraine","UKR","14_1_1_1","2020",1421200,34.6323172044173
"472","United Arab Emirates","ARE","14_1_1_1","2016",1807540,32.7691940677081
"473","United Arab Emirates","ARE","14_1_1_1","2017",9460278,19.9452178954314
"474","United Arab Emirates","ARE","14_1_1_1","2018",716678,39.9368281886844
"475","United Kingdom","GBR","14_1_1_1","2015",954398,37.7173832477341
"476","United Kingdom","GBR","14_1_1_1","2016",1180157,36.0723137369613
