"","Entity","Code","SDG","Year","value","value_norm"
"299","New Zealand","NZL","14_1_1_1",2016,281449,0.471786877062041
"300","New Zealand","NZL","14_1_1_1",2017,24073,0.662299237537699
"301","New Zealand","NZL","14_1_1_1",2018,281211,0.471852423670615
"302","Nicaragua","NIC","14_1_1_1",2016,3262958,0.281927069112106
"303","Nicaragua","NIC","14_1_1_1",2017,1896642,0.32396374924163
"304","Nicaragua","NIC","14_1_1_1",2018,621668,0.41038751478814
"305","Nigeria","NGA","14_1_1_1",2017,1981343,0.320578654936609
"306","Nigeria","NGA","14_1_1_1",2018,8166746,0.210844149906425
"323","Northern Mariana Islands","MNP","14_1_1_1",2015,87697,0.562133415110238
"324","Northern Mariana Islands","MNP","14_1_1_1",2016,234068,0.486069497678332
"325","Northern Mariana Islands","MNP","14_1_1_1",2017,161545,0.514801224318923
"326","Northern Mariana Islands","MNP","14_1_1_1",2018,174240,0.508939873063859
"327","Norway","NOR","14_1_1_1",2015,325770,0.460456183011406
"328","Norway","NOR","14_1_1_1",2016,277099,0.472993736862341
"329","Norway","NOR","14_1_1_1",2017,284725,0.470890237074895
"330","Norway","NOR","14_1_1_1",2018,94811,0.556090154319273
"335","Oman","OMN","14_1_1_1",2018,2457134,0.303903364979983
"336","Pakistan","PAK","14_1_1_1",2017,5538922,0.240927337202877
"337","Palau","PLW","14_1_1_1",2016,428991,0.43913026827195
"338","Palau","PLW","14_1_1_1",2017,509132,0.425860171982241
"339","Panama","PAN","14_1_1_1",2016,1446132,0.344975732257147
"340","Panama","PAN","14_1_1_1",2017,636943,0.408506768104282
"341","Panama","PAN","14_1_1_1",2018,5295090,0.244415478081769
"342","Paraguay","PRY","14_1_1_1",2016,1062838,0.368835658591338
"343","Peru","PER","14_1_1_1",2016,4051824,0.265150104422608
"344","Peru","PER","14_1_1_1",2017,15390297,0.161747690276116
"345","Peru","PER","14_1_1_1",2018,4107201,0.264098343297754
"346","Philippines","PHL","14_1_1_1",2016,1023702,0.371742490654059
"347","Philippines","PHL","14_1_1_1",2017,3174985,0.28404469185902
"348","Philippines","PHL","14_1_1_1",2018,4227161,0.261867786041341
"349","Poland","POL","14_1_1_1",2016,850500,0.38610388887342
"350","Poland","POL","14_1_1_1",2017,207789,0.495296470098241
"351","Poland","POL","14_1_1_1",2018,732812,0.397643381377159
"355","Portugal","PRT","14_1_1_1",2015,3096130,0.285993309575598
"356","Portugal","PRT","14_1_1_1",2016,1237300,0.357059567578835
"357","Portugal","PRT","14_1_1_1",2017,257362,0.478718821925051
"358","Portugal","PRT","14_1_1_1",2018,1537330,0.34023746655552
"359","Portugal","PRT","14_1_1_1",2019,160506,0.515301157183267
"360","Portugal","PRT","14_1_1_1",2020,10294,0.728120748151538
"361","Puerto Rico","PRI","14_1_1_1",2016,1129753,0.364105017204011
