"","Country","Code","SDG","Year","Value"
"398","Singapore","SGP","14_1_1_1","2017",21.1462736573771
"399","Singapore","SGP","14_1_1_1","2018",18.3013284277086
"400","Sint Maarten (Dutch part)","SXM","14_1_1_1","2018",30.5139940234045
"401","Slovenia","SVN","14_1_1_1","2016",24.125623792184
"402","Slovenia","SVN","14_1_1_1","2017",25.2095432357713
"403","Slovenia","SVN","14_1_1_1","2018",56.5196760616603
"404","South Africa","ZAF","14_1_1_1","2015",27.0106665949287
"405","South Africa","ZAF","14_1_1_1","2016",29.6291398930943
"406","South Africa","ZAF","14_1_1_1","2017",34.7553945377661
"407","South Africa","ZAF","14_1_1_1","2018",30.0416734584159
"408","South Africa","ZAF","14_1_1_1","2019",69.9216737570909
"414","South Korea","KOR","14_1_1_1","2016",24.6759007850367
"415","South Korea","KOR","14_1_1_1","2017",27.5385310360709
"416","South Korea","KOR","14_1_1_1","2018",29.0412061839928
"434","Spain","ESP","14_1_1_1","2015",25.0721255490034
"435","Spain","ESP","14_1_1_1","2016",19.9057733051661
"436","Spain","ESP","14_1_1_1","2017",23.1813234544699
"437","Spain","ESP","14_1_1_1","2018",25.4086022533014
"438","Spain","ESP","14_1_1_1","2019",26.107701909204
"439","Spain","ESP","14_1_1_1","2020",34.6853888858329
"440","Sri Lanka","LKA","14_1_1_1","2016",21.0267026048791
"441","Sri Lanka","LKA","14_1_1_1","2017",20.7197806725897
"442","Sri Lanka","LKA","14_1_1_1","2018",24.6059531907078
"443","Suriname","SUR","14_1_1_1","2017",30.1727255005484
"444","Suriname","SUR","14_1_1_1","2018",29.5027792059528
"445","Sweden","SWE","14_1_1_1","2015",52.9699924314863
"446","Sweden","SWE","14_1_1_1","2016",47.301815736739
"447","Sweden","SWE","14_1_1_1","2017",48.6815041493616
"448","Sweden","SWE","14_1_1_1","2018",53.8180568096202
"449","Switzerland","CHE","14_1_1_1","2015",17.9450558018883
"450","Switzerland","CHE","14_1_1_1","2017",25.8629805175059
"451","Switzerland","CHE","14_1_1_1","2018",38.3304543498013
"452","Tanzania","TZA","14_1_1_1","2016",7.75404766087299
"453","Tanzania","TZA","14_1_1_1","2017",13.2280646845059
"454","Tanzania","TZA","14_1_1_1","2018",40.0631245247221
"455","Thailand","THA","14_1_1_1","2016",31.5392413526078
"456","Thailand","THA","14_1_1_1","2017",30.7578841529167
"457","Thailand","THA","14_1_1_1","2018",28.4570806888081
"458","Timor","TLS","14_1_1_1","2016",36.5570534746468
"459","Tonga","TON","14_1_1_1","2017",29.7445042639821
"460","Trinidad and Tobago","TTO","14_1_1_1","2016",25.1187376256769
