"","Country","Year","Value_sum","SDG"
"2415","Belize",2015,42.064348,"14"
"2575","Belize",2016,42.0633558184907,"14"
"2735","Belize",2017,41.924904,"14"
"2895","Belize",2018,41.906904,"14"
"3055","Belize",2019,42.212904,"14"
"16","Benin",2000,36.63274,"14"
"176","Benin",2001,36.63274,"14"
"336","Benin",2002,36.63274,"14"
"496","Benin",2003,36.63274,"14"
"656","Benin",2004,36.63274,"14"
"816","Benin",2005,36.63274,"14"
"976","Benin",2006,36.53874,"14"
"1136","Benin",2007,36.77674,"14"
"1296","Benin",2008,36.58874,"14"
"1456","Benin",2009,36.67274,"14"
"1616","Benin",2010,36.40474,"14"
"1776","Benin",2011,36.48674,"14"
"1936","Benin",2012,36.801883,"14"
"2096","Benin",2013,37.057026,"14"
"2256","Benin",2014,36.889026,"14"
"2416","Benin",2015,37.093026,"14"
"2576","Benin",2016,36.639026,"14"
"2736","Benin",2017,36.815026,"14"
"2896","Benin",2018,36.987026,"14"
"3056","Benin",2019,36.829026,"14"
"17","Bermuda",2000,1.040604,"14"
"177","Bermuda",2001,1.040604,"14"
"337","Bermuda",2002,1.040604,"14"
"497","Bermuda",2003,1.040604,"14"
"657","Bermuda",2004,1.040604,"14"
"817","Bermuda",2005,1.040604,"14"
"977","Bermuda",2006,0.840604,"14"
"1137","Bermuda",2007,0.828604,"14"
"1297","Bermuda",2008,0.908604,"14"
"1457","Bermuda",2009,0.816604,"14"
"1617","Bermuda",2010,0.812604,"14"
"1777","Bermuda",2011,0.866604,"14"
"1937","Bermuda",2012,0.859901136953038,"14"
"2097","Bermuda",2013,0.953316,"14"
"2257","Bermuda",2014,1.1427944496725,"14"
"2417","Bermuda",2015,1.148472,"14"
"2577","Bermuda",2016,1.40805379631875,"14"
"2737","Bermuda",2017,0.933248,"14"
"2897","Bermuda",2018,1.557248,"14"
"3057","Bermuda",2019,1.687248,"14"
"18","Bonaire, Sint Eustatius and Saba",2000,10.784786,"14"
"178","Bonaire, Sint Eustatius and Saba",2001,10.784786,"14"
"338","Bonaire, Sint Eustatius and Saba",2002,10.784786,"14"
"498","Bonaire, Sint Eustatius and Saba",2003,10.784786,"14"
