"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"11","Belgium","BEL","BEL",22.03764821,22.08322301,22.12879781,22.1743726,22.2199474,22.2655222,22.31175613,22.35799207,22.40422802,22.45046195,22.49669789,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464,NA,NA
"12","Belize","BLZ","BLZ",63.97632831,63.60149057,63.226214,62.85138162,62.47610504,62.10127266,61.88075406,61.66023545,61.44015568,61.21964244,60.99912383,60.77904406,60.5589643,60.33932336,60.11924359,59.89916917,59.6790894,NA,NA
"13","Bhutan","BTN","BTN",65.47738693,65.7268827,65.97638461,66.22588038,69.41049937,69.67101126,69.93152956,70.19177885,70.45229074,70.71280903,70.97332093,71.23383282,71.49434471,71.754863,72.0153749,72.27562418,72.48453671,NA,NA
"14","Bosnia and Herzegovina","BIH","BIH",42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,NA,NA
"15","Botswana","BWA","BWA",22.11811621,21.90919769,21.7002809,21.49136239,21.28244559,21.07352708,20.86460856,20.65569177,20.44677325,20.23785646,20.02893794,19.84860481,19.66827168,19.48794027,19.30760714,19.12727401,18.94694088,NA,NA
"16","Brazil","BRA","BRA",62.36722524,62.01930094,61.67137665,61.32345235,60.97552805,60.62760375,60.42957075,60.23153402,60.03350102,59.83546429,59.63743129,59.51970175,59.40197221,59.28424267,59.16651312,59.04878358,58.93105404,NA,NA
"17","Brunei Darussalam","BRN","BRN",75.33206831,75.02846184,74.72485537,74.42125469,74.11764822,73.81404175,73.47248808,73.13092863,72.78937497,72.44781552,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,NA,NA
"18","Burkina Faso","BFA","BFA",22.83625731,22.61769077,22.39912245,22.18055591,21.96198759,21.74342105,21.52412281,21.30482456,21.08552632,20.86622807,20.64692982,20.42836329,20.20979496,19.99122843,19.7726601,19.55409357,19.33552703,NA,NA
"19","Burundi","BDI","BDI",7.710280374,7.577881858,7.445482747,7.313084231,7.180685121,7.048286604,7.60903403,8.16978205,8.730529476,9.291277496,9.852024922,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151,NA,NA
"20","Cambodia","KHM","KHM",65.40901881,64.4856107,63.56220258,62.63879447,61.71538636,60.79197825,60.07024478,59.34851686,58.62678339,57.90505546,57.183322,56.46158854,55.73986061,55.01812715,54.29639922,53.57466576,52.8529323,NA,NA
"21","Cameroon","CMR","CMR",46.78555563,46.32015401,45.85475239,45.38935076,44.92394914,44.45854752,43.9931459,43.52774428,43.06234266,42.59694104,42.13153942,41.6661378,41.20073618,40.73533456,40.26993294,39.80453132,39.3391297,NA,NA
"22","Canada","CAN","CAN",38.24727745,38.24230825,38.23733561,38.23236641,38.22739377,38.22242456,38.21639691,38.2103727,38.20434505,38.19832084,38.19229318,38.18716934,38.18204549,38.17691821,38.17179436,38.16667052,38.16154667,NA,NA
"23","Chad","TCD","TCD",5.023824651,4.994440915,4.965057179,4.935673443,4.906289708,4.876905972,4.776365869,4.675825766,4.575286051,4.474745948,4.374205845,4.273665742,4.173125639,4.072585924,3.972045821,3.871505718,3.770965615,NA,NA
"24","Chile","CHL","CHL",21.29565282,21.35160147,21.40755143,21.46350007,21.51945003,21.57539867,21.62623684,21.677075,21.72791448,21.77875265,21.82959081,22.2341474,22.63870136,23.04325795,23.44781191,23.8523685,24.25692509,NA,NA
"25","China","CHN","CHN",18.85346743,19.19525698,19.53703617,19.87881579,20.22059245,20.56237213,20.72356302,20.88475227,21.0459418,21.20712991,21.36831943,21.53258961,21.69685979,21.86112996,22.02539848,22.18966865,22.35394181,NA,NA
"26","Colombia","COL","COL",55.69936134,55.4114642,55.12357763,54.83568401,54.54779743,54.25990029,53.97760112,53.69530546,53.41301332,53.13071767,52.84841849,52.82433669,52.80026194,52.77618015,52.7521054,52.72802008,52.70393829,NA,NA
"27","Costa Rica","CRI","CRI",46.53349001,46.98394046,47.43439091,47.88484136,48.33529181,48.78574226,49.23227671,49.67881116,50.12534082,50.57187527,51.01840971,51.60986978,52.20132985,52.79279471,53.38425478,53.97571485,54.56717492,NA,NA
"28","Croatia","HRV","HRV",33.71489894,33.7792877,33.84367647,33.90806741,33.94210194,34.00643317,34.06719129,34.12794941,34.18870535,34.24946347,34.31022159,34.31736999,34.32451839,34.3316646,34.338813,34.3459614,34.3531098,NA,NA
"29","Cuba","CUB","CUB",22.67225326,23.16014807,23.87254487,24.3627815,24.85292827,25.33821871,25.78220427,26.22134536,26.66290868,27.104472,27.54603533,27.93857698,28.55075989,29.67568652,30.24802829,30.76331475,31.27860121,NA,NA
"30","Djibouti","DJI","DJI",0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,NA,NA
"31","Ecuador","ECU","ECU",55.27830537,54.96126465,54.64422785,54.32722645,54.01018572,53.69318825,53.37614753,53.0591068,52.74210933,52.42506861,52.1080672,51.79103041,51.47398968,51.15698828,50.83995149,50.52295008,50.20595261,NA,NA
"32","El Salvador","SLV","SLV",16.02316602,15.80115801,15.57914999,15.35714345,15.13513543,14.91312741,14.7007725,14.48841758,14.27606119,14.06370627,13.85135135,13.63899643,13.42664152,13.21428513,13.00193021,12.78957529,12.57722037,NA,NA
"33","Eritrea","ERI","ERI",15.6039604,15.5603958,15.5168312,15.47326781,15.42970321,15.38613861,15.34257402,15.29900942,15.25544603,15.21188143,15.16831683,15.12475223,15.08118764,15.03762425,14.99405965,14.95049505,14.90693045,NA,NA
"34","Ethiopia","ETH","ETH",13.705,13.564,13.423,13.282,13.141,13,12.8592002,12.71840039,12.57759961,12.4367998,12.296,12.33659961,12.3772002,12.4177998,12.45840039,12.499,12.53959961,NA,NA
"35","Finland","FIN","FIN",73.68922158,73.49092094,73.29262031,73.09432608,72.89602545,72.69772481,72.86179343,72.91591305,73.01085884,73.06021718,73.10957552,73.11198131,73.11198131,73.11198131,73.11198131,73.10716989,73.10716989,NA,NA
"36","France","FRA","FRA",27.92169765,28.13062257,28.33954571,28.53283811,28.75739377,28.9668477,29.17248768,29.37812945,29.58376943,29.78941119,29.99505117,30.20142238,30.4077936,30.61416481,30.82053602,31.02690723,31.23327844,NA,NA
"37","Georgia","GEO","GEO",39.72658077,39.76082862,39.79507997,39.82932782,39.86357918,39.89782703,40.04144453,40.18506204,40.32867954,40.47229705,40.61591455,40.61591455,40.61591455,40.61591455,40.61591455,40.61591455,40.61591455,NA,NA
"38","Germany","DEU","DEU",32.53761284,32.55947263,32.58040475,32.60227631,32.62321874,32.64135795,32.65944024,32.67846388,32.69655509,32.71277359,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73242345,32.69120678,NA,NA
"39","Greece","GRC","GRC",27.93638479,28.17067456,28.40496433,28.63925599,28.87354576,29.10783553,29.3421253,29.57641507,29.81070673,30.0449965,30.27928627,30.51357604,30.74786581,30.98215747,31.21644724,31.45073701,31.68502677,NA,NA
